month,Product_Category,Region,total_sales,total_profit,order_count,avg_unit_price,avg_discount,total_quantity
2023-04-01,Furniture,Europe,1552.42,455.12999999999994,3,180.9,8.333333333333334,12
2023-04-01,Furniture,Middle East & Africa,2721.92,804.9300000000001,4,186.8225,11.25,14
2023-04-01,Furniture,North America,2141.19,791.6800000000001,4,249.7,2.5,9
2023-04-01,Office Supplies,Asia Pacific,152.01,15.47,5,10.736,6.0,15
2023-04-01,Office Supplies,Middle East & Africa,9.08,-8.78,1,4.54,0.0,2
2023-04-01,Office Supplies,North America,169.53,54.120000000000005,4,14.0,6.25,12
2023-04-01,Technology,Asia Pacific,529.7,143.14,4,39.785000000000004,10.0,16
2023-04-01,Technology,Europe,1560.5700000000002,596.54,4,81.91,6.25,17
2023-04-01,Technology,Middle East & Africa,609.39,252.8,1,67.71,0.0,9
2023-04-01,Technology,North America,780.47,242.69,4,120.5675,13.75,8
2023-04-01,Technology,South America,482.46000000000004,160.91,3,99.19666666666667,6.666666666666667,7
2023-05-01,Clothing & Accessories,Asia Pacific,372.36,120.2,2,66.05,15.0,9
2023-05-01,Clothing & Accessories,Europe,275.25,93.48,3,46.17333333333334,8.333333333333334,7
2023-05-01,Clothing & Accessories,North America,134.2,49.9,1,26.84,0.0,5
2023-05-01,Clothing & Accessories,South America,227.06,68.37,1,94.61,20.0,3
2023-05-01,Furniture,Asia Pacific,1749.7800000000002,552.35,3,99.39999999999999,15.0,19
2023-05-01,Furniture,Europe,583.57,150.2,2,221.99,12.5,3
2023-05-01,Furniture,Middle East & Africa,592.4100000000001,176.45,2,216.17000000000002,12.5,3
2023-05-01,Furniture,North America,1418.4099999999999,471.36,4,165.7025,10.0,10
2023-05-01,Furniture,South America,371.89,94.84,1,145.84,15.0,3
2023-05-01,Office Supplies,Asia Pacific,127.28,-12.409999999999998,5,9.540000000000001,13.0,19
2023-05-01,Office Supplies,Europe,24.32,-4.84,1,11.58,30.0,3
2023-05-01,Office Supplies,North America,141.16000000000003,29.67,5,12.572,9.0,13
2023-05-01,Technology,Asia Pacific,1440.3200000000002,534.4,4,74.175,10.0,22
2023-05-01,Technology,North America,707.48,256.83000000000004,5,49.502,5.0,14
2023-05-01,Technology,South America,52.98,11.06,1,55.77,5.0,1
2023-06-01,Clothing & Accessories,Asia Pacific,452.32000000000005,155.05,4,29.3525,8.75,16
2023-06-01,Clothing & Accessories,Europe,175.88,52.120000000000005,2,37.58,10.0,5
2023-06-01,Clothing & Accessories,Middle East & Africa,194.85,31.79,3,24.19333333333333,3.3333333333333335,12
2023-06-01,Clothing & Accessories,North America,219.9,78.78999999999999,2,33.89,5.0,7
2023-06-01,Clothing & Accessories,South America,63.27,13.22,1,79.09,20.0,1
2023-06-01,Furniture,Asia Pacific,700.38,206.82,3,214.9,8.333333333333334,4
2023-06-01,Furniture,Europe,4142.93,1458.63,4,146.2225,6.25,19
2023-06-01,Furniture,Middle East & Africa,1360.62,453.91999999999996,4,71.14,5.0,22
2023-06-01,Furniture,North America,4499.74,1489.07,6,157.15166666666667,10.0,30
2023-06-01,Office Supplies,Asia Pacific,56.53,-14.6,3,8.183333333333334,10.0,9
2023-06-01,Office Supplies,Europe,93.27,-11.53,6,10.301666666666668,9.166666666666666,11
2023-06-01,Office Supplies,Middle East & Africa,94.45,12.75,2,21.22,12.5,5
2023-06-01,Office Supplies,North America,296.1,116.13,3,16.356666666666666,6.666666666666667,16
2023-06-01,Technology,Asia Pacific,1059.09,336.84,4,44.855,10.0,27
2023-06-01,Technology,Europe,1122.8899999999999,344.85,5,82.00399999999999,13.0,16
2023-06-01,Technology,Middle East & Africa,162.19,30.38,2,23.815,5.0,7
2023-06-01,Technology,North America,1497.1999999999998,486.11,5,57.84000000000001,13.0,25
2023-07-01,Clothing & Accessories,Europe,592.16,204.75,4,30.6925,10.0,21
2023-07-01,Clothing & Accessories,North America,648.47,251.13,5,42.269999999999996,7.0,19
2023-07-01,Clothing & Accessories,South America,142.12,43.39,2,47.129999999999995,2.5,3
2023-07-01,Furniture,Asia Pacific,4568.5599999999995,1648.84,5,188.084,9.0,22
2023-07-01,Furniture,Europe,827.61,243.13,3,108.77333333333333,13.333333333333334,7
2023-07-01,Furniture,Middle East & Africa,2833.06,669.85,7,120.47857142857143,12.857142857142858,22
2023-07-01,Furniture,South America,16.91,-7.85,1,21.14,20.0,1
2023-07-01,Office Supplies,Asia Pacific,126.69999999999999,12.899999999999999,4,12.32,6.25,12
2023-07-01,Office Supplies,Europe,23.8,3.38,1,11.9,0.0,2
2023-07-01,Office Supplies,Middle East & Africa,38.92,-10.149999999999999,2,11.18,5.0,4
2023-07-01,Office Supplies,North America,175.93,42.6,6,13.648333333333333,9.166666666666666,13
2023-07-01,Office Supplies,South America,25.26,-13.95,2,11.465,2.5,3
2023-07-01,Technology,Asia Pacific,1830.8799999999999,631.46,6,86.815,9.166666666666666,20
2023-07-01,Technology,Europe,1258.67,509.38,3,93.51333333333332,3.3333333333333335,13
2023-07-01,Technology,Middle East & Africa,68.34,9.14,1,42.71,20.0,2
2023-07-01,Technology,North America,626.22,235.56,4,56.0675,5.0,11
2023-07-01,Technology,South America,1864.12,722.41,3,75.61666666666667,11.666666666666666,15
2023-08-01,Clothing & Accessories,Asia Pacific,363.79999999999995,90.52000000000001,3,39.20333333333333,15.0,10
2023-08-01,Clothing & Accessories,Europe,656.26,231.16,3,53.53333333333333,11.666666666666666,15
2023-08-01,Clothing & Accessories,Middle East & Africa,591.05,222.56,3,25.876666666666665,5.0,19
2023-08-01,Clothing & Accessories,North America,1137.86,462.32000000000005,7,46.705714285714286,10.0,21
2023-08-01,Clothing & Accessories,South America,819.8,329.96000000000004,4,80.30000000000001,10.0,10
2023-08-01,Furniture,Asia Pacific,636.22,157.95,2,97.935,15.0,8
2023-08-01,Furniture,Europe,858.92,247.67999999999998,3,120.20333333333333,13.333333333333334,7
2023-08-01,Furniture,Middle East & Africa,79.61,12.83,1,44.23,10.0,2
2023-08-01,Furniture,North America,843.06,275.29999999999995,3,112.66333333333334,6.666666666666667,7
2023-08-01,Furniture,South America,667.17,199.81,3,139.34,6.666666666666667,6
2023-08-01,Office Supplies,Asia Pacific,291.65,68.58,5,15.424000000000001,9.0,21
2023-08-01,Office Supplies,Europe,179.89,32.85,3,8.893333333333333,13.333333333333334,22
2023-08-01,Office Supplies,Middle East & Africa,88.95,-13.91,3,8.013333333333334,6.666666666666667,12
2023-08-01,Office Supplies,North America,165.0,36.67,5,12.912,9.0,14
2023-08-01,Office Supplies,South America,85.08,-6.42,3,10.446666666666667,13.333333333333334,11
2023-08-01,Technology,Asia Pacific,1064.69,350.56,5,62.71999999999999,8.0,16
2023-08-01,Technology,Europe,2937.79,1054.93,6,84.59333333333333,7.5,36
2023-08-01,Technology,Middle East & Africa,170.4,21.82,2,88.395,15.0,4
2023-08-01,Technology,North America,1333.87,441.15,5,90.168,12.0,17
2023-09-01,Clothing & Accessories,Asia Pacific,568.62,196.73,3,46.596666666666664,15.0,12
2023-09-01,Clothing & Accessories,Europe,171.97,48.3,2,28.685,12.5,6
2023-09-01,Clothing & Accessories,North America,802.65,265.04,5,66.298,13.0,11
2023-09-01,Furniture,Asia Pacific,1415.07,474.87,4,179.43,5.0,10
2023-09-01,Furniture,Europe,1272.8600000000001,322.87,2,75.36,15.0,20
2023-09-01,Furniture,Middle East & Africa,925.72,323.49,2,100.355,5.0,9
2023-09-01,Furniture,North America,2861.7200000000003,759.02,7,100.86857142857143,10.0,41
2023-09-01,Furniture,South America,999.25,322.32,2,271.125,5.0,4
2023-09-01,Office Supplies,Asia Pacific,83.22,-16.88,5,8.472,7.0,12
2023-09-01,Office Supplies,Europe,126.12,31.189999999999998,3,11.24,10.0,11
2023-09-01,Office Supplies,North America,146.01,40.13,4,13.45,13.75,11
2023-09-01,Technology,Asia Pacific,713.83,246.26999999999998,5,98.896,5.0,10
2023-09-01,Technology,Europe,525.67,132.32,4,45.602500000000006,11.25,20
2023-09-01,Technology,Middle East & Africa,417.49,97.5,4,42.1475,10.0,11
2023-09-01,Technology,North America,408.88,129.25,3,92.97666666666667,11.666666666666666,6
2023-09-01,Technology,South America,550.64,204.58,3,66.95333333333333,3.3333333333333335,7
2023-10-01,Clothing & Accessories,Asia Pacific,66.02,15.12,1,82.52,20.0,1
2023-10-01,Clothing & Accessories,Europe,963.3199999999999,328.21,5,55.446000000000005,10.0,19
2023-10-01,Clothing & Accessories,Middle East & Africa,382.78000000000003,139.4,3,49.11333333333334,3.3333333333333335,8
2023-10-01,Clothing & Accessories,North America,129.12,46.9,1,33.98,5.0,4
2023-10-01,Clothing & Accessories,South America,779.58,272.54,1,74.96,20.0,13
2023-10-01,Furniture,Asia Pacific,2938.99,929.6,5,145.89000000000001,10.0,20
2023-10-01,Furniture,Europe,4541.85,1560.11,3,296.1366666666667,5.0,18
2023-10-01,Furniture,Middle East & Africa,730.87,182.77,4,76.38499999999999,13.75,12
2023-10-01,Furniture,North America,622.38,170.38,4,78.57,10.0,7
2023-10-01,Furniture,South America,2007.12,435.40999999999997,4,215.27499999999998,18.75,14
2023-10-01,Office Supplies,Asia Pacific,26.53,-5.51,2,13.965,5.0,2
2023-10-01,Office Supplies,Europe,116.82,33.269999999999996,3,19.866666666666664,13.333333333333334,6
2023-10-01,Office Supplies,Middle East & Africa,83.54,-9.92,3,13.35,18.333333333333332,8
2023-10-01,Office Supplies,North America,46.45,8.8,2,13.675,2.5,5
2023-10-01,Office Supplies,South America,218.96,39.03,4,14.655000000000001,7.5,16
2023-10-01,Technology,Asia Pacific,1233.96,459.73,5,71.02000000000001,7.0,21
2023-10-01,Technology,Europe,767.6700000000001,243.14000000000001,4,54.4075,8.75,18
2023-10-01,Technology,Middle East & Africa,593.41,172.29000000000002,2,106.245,17.5,7
2023-10-01,Technology,North America,1357.64,499.89,5,73.00800000000001,9.0,17
2023-10-01,Technology,South America,187.59,51.89,2,61.94499999999999,5.0,3
2023-11-01,Clothing & Accessories,Asia Pacific,49.64,2.07,2,26.345,5.0,2
2023-11-01,Clothing & Accessories,Europe,14.93,-1.44,1,15.72,5.0,1
2023-11-01,Clothing & Accessories,North America,41.11,12.63,1,45.68,10.0,1
2023-11-01,Clothing & Accessories,South America,379.85,145.8,2,54.21,7.5,8
2023-11-01,Furniture,Asia Pacific,1963.3,476.21,3,174.62333333333333,16.666666666666668,11
2023-11-01,Furniture,Europe,1723.16,462.53,4,119.9175,15.0,19
2023-11-01,Furniture,North America,961.94,289.7,3,154.74333333333334,8.333333333333334,9
2023-11-01,Office Supplies,Asia Pacific,152.18,7.01,5,11.384,6.0,16
2023-11-01,Office Supplies,Europe,45.33,-9.04,3,11.106666666666667,11.666666666666666,5
2023-11-01,Office Supplies,Middle East & Africa,85.33,22.61,1,14.97,5.0,6
2023-11-01,Office Supplies,North America,79.17,17.96,2,9.535,10.0,10
2023-11-01,Office Supplies,South America,88.03999999999999,6.239999999999998,3,13.376666666666667,8.333333333333334,6
2023-11-01,Technology,Asia Pacific,762.9100000000001,286.77,4,41.08,5.0,16
2023-11-01,Technology,Europe,1204.18,446.25,4,77.62249999999999,5.0,15
2023-11-01,Technology,Middle East & Africa,17.56,-5.31,1,17.56,0.0,1
2023-11-01,Technology,North America,593.99,209.87,4,80.36500000000001,5.0,11
2023-11-01,Technology,South America,312.87,99.91,3,53.79,0.0,8
2023-12-01,Clothing & Accessories,Asia Pacific,1137.85,440.63,5,63.470000000000006,9.0,20
2023-12-01,Clothing & Accessories,Europe,110.59,31.11,1,43.37,15.0,3
2023-12-01,Clothing & Accessories,Middle East & Africa,474.71000000000004,145.17,3,47.21666666666667,8.333333333333334,10
2023-12-01,Clothing & Accessories,North America,543.84,181.18,4,31.445,12.5,20
2023-12-01,Furniture,Asia Pacific,2927.84,849.18,9,141.38555555555556,7.222222222222222,24
2023-12-01,Furniture,Europe,2338.93,719.49,7,112.11285714285714,8.571428571428571,27
2023-12-01,Furniture,Middle East & Africa,539.72,162.26,2,80.485,5.0,7
2023-12-01,Furniture,North America,3502.22,948.96,6,185.86666666666667,15.833333333333334,21
2023-12-01,Furniture,South America,1093.52,292.63,2,228.72,15.0,5
2023-12-01,Office Supplies,Asia Pacific,103.0,6.110000000000001,3,12.153333333333334,10.0,9
2023-12-01,Office Supplies,Middle East & Africa,120.46,34.01,1,11.81,15.0,12
2023-12-01,Office Supplies,North America,414.3,99.83999999999999,13,12.783846153846154,7.6923076923076925,36
2023-12-01,Office Supplies,South America,114.88,0.7399999999999984,4,8.965,3.75,13
2023-12-01,Technology,Asia Pacific,2172.02,756.1,9,69.88333333333334,10.0,33
2023-12-01,Technology,Europe,697.57,229.96,4,53.185,7.5,15
2023-12-01,Technology,North America,382.99,125.97,5,51.324,8.0,10
2024-01-01,Clothing & Accessories,Europe,340.49,108.97,3,49.15333333333333,10.0,8
2024-01-01,Clothing & Accessories,North America,774.4200000000001,252.87,5,52.364,14.0,18
2024-01-01,Clothing & Accessories,South America,88.36,15.030000000000001,2,16.915,10.0,7
2024-01-01,Furniture,Asia Pacific,204.53,29.95,2,113.645,15.0,3
2024-01-01,Furniture,Europe,154.2,47.74,1,81.16,5.0,2
2024-01-01,Furniture,Middle East & Africa,218.42,50.29,1,34.67,10.0,7
2024-01-01,Furniture,North America,1970.39,694.35,4,168.865,7.5,11
2024-01-01,Furniture,South America,222.26,63.57,1,246.96,10.0,1
2024-01-01,Office Supplies,Asia Pacific,139.65,-0.009999999999999787,5,13.466,15.0,13
2024-01-01,Office Supplies,Europe,63.989999999999995,6.33,3,16.903333333333332,5.0,4
2024-01-01,Office Supplies,North America,292.02,78.88,5,11.580000000000002,5.0,27
2024-01-01,Office Supplies,South America,102.81,31.98,2,16.545,0.0,6
2024-01-01,Technology,Asia Pacific,398.65999999999997,141.24,2,44.825,10.0,9
2024-01-01,Technology,Europe,213.82,70.11,2,34.35,2.5,6
2024-01-01,Technology,Middle East & Africa,1596.1399999999999,469.66999999999996,2,113.08500000000001,10.0,14
2024-01-01,Technology,North America,1235.05,429.17,8,73.945,7.5,18
2024-02-01,Clothing & Accessories,Asia Pacific,982.98,381.91,3,63.906666666666666,13.333333333333334,19
2024-02-01,Clothing & Accessories,Europe,652.8,263.5,4,50.8025,5.0,14
2024-02-01,Clothing & Accessories,Middle East & Africa,435.84,199.01,1,108.96,0.0,4
2024-02-01,Clothing & Accessories,North America,285.84000000000003,111.97,2,33.49,2.5,10
2024-02-01,Furniture,Asia Pacific,2341.66,654.84,2,246.155,17.5,8
2024-02-01,Furniture,Europe,656.78,242.70999999999998,2,179.49,0.0,3
2024-02-01,Furniture,North America,3815.16,1405.3899999999999,5,204.846,8.0,15
2024-02-01,Furniture,South America,1300.1,415.78,1,180.57,10.0,8
2024-02-01,Office Supplies,Asia Pacific,13.22,-3.08,1,13.92,5.0,1
2024-02-01,Office Supplies,Europe,22.950000000000003,-3.17,2,11.475000000000001,0.0,2
2024-02-01,Office Supplies,Middle East & Africa,40.29,-10.17,2,17.035,15.0,3
2024-02-01,Office Supplies,North America,64.6,11.66,2,12.835,10.0,6
2024-02-01,Technology,Asia Pacific,28.43,1.48,1,28.43,0.0,1
2024-02-01,Technology,Europe,836.07,270.28999999999996,5,91.616,11.0,12
2024-02-01,Technology,Middle East & Africa,41.84,4.44,1,22.02,5.0,2
2024-02-01,Technology,North America,386.36,165.0,1,96.59,0.0,4
2024-02-01,Technology,South America,74.68,19.7,1,78.61,5.0,1
2024-03-01,Clothing & Accessories,Asia Pacific,1226.29,522.8,4,68.37,10.0,23
2024-03-01,Clothing & Accessories,Europe,19.9,-0.53,1,24.87,20.0,1
2024-03-01,Clothing & Accessories,North America,152.19,63.6,1,32.04,5.0,5
2024-03-01,Clothing & Accessories,South America,92.86,6.95,1,14.51,20.0,8
2024-03-01,Furniture,Asia Pacific,131.08,26.06,1,36.41,10.0,4
2024-03-01,Furniture,Europe,1744.91,552.5,3,129.54999999999998,6.666666666666667,12
2024-03-01,Furniture,Middle East & Africa,1269.08,355.3,2,130.27499999999998,12.5,11
2024-03-01,Furniture,North America,555.27,212.74,1,185.09,0.0,3
2024-03-01,Furniture,South America,382.34999999999997,106.72,3,94.99,6.666666666666667,4
2024-03-01,Office Supplies,Asia Pacific,67.69,-12.440000000000001,4,7.7475000000000005,8.75,11
2024-03-01,Office Supplies,Europe,83.49,0.639999999999999,4,10.842500000000001,6.25,9
2024-03-01,Office Supplies,Middle East & Africa,10.33,-6.49,1,10.33,0.0,1
2024-03-01,Office Supplies,North America,343.15999999999997,131.59,4,15.9275,7.5,22
2024-03-01,Technology,Asia Pacific,1688.69,652.51,4,82.13499999999999,2.5,22
2024-03-01,Technology,Europe,517.3399999999999,195.32,3,55.31999999999999,1.6666666666666667,8
2024-03-01,Technology,Middle East & Africa,1076.19,389.78,3,132.05333333333334,10.0,8
2024-03-01,Technology,North America,1134.15,373.6,3,69.74333333333334,13.333333333333334,21
2024-03-01,Technology,South America,55.14,12.66,1,27.57,0.0,2
2024-04-01,Clothing & Accessories,Asia Pacific,1178.47,383.43,7,44.847142857142856,15.714285714285714,32
2024-04-01,Clothing & Accessories,Europe,410.69,107.49,4,35.57,17.5,14
2024-04-01,Clothing & Accessories,Middle East & Africa,629.96,274.69,1,82.89,5.0,8
2024-04-01,Clothing & Accessories,North America,276.13,91.82000000000001,3,51.71,13.333333333333334,7
2024-04-01,Clothing & Accessories,South America,370.36,155.03,1,77.97,5.0,5
2024-04-01,Furniture,Asia Pacific,1470.95,359.07,6,151.48833333333334,15.0,14
2024-04-01,Furniture,Middle East & Africa,1531.16,540.71,1,107.45,5.0,15
2024-04-01,Furniture,North America,945.56,331.51,2,129.765,7.5,6
2024-04-01,Furniture,South America,2813.7999999999997,879.8100000000001,2,243.38,15.0,10
2024-04-01,Office Supplies,Asia Pacific,180.92999999999998,24.65,5,13.472,11.0,15
2024-04-01,Office Supplies,Europe,181.68,19.95,7,11.001428571428573,8.571428571428571,18
2024-04-01,Office Supplies,Middle East & Africa,53.8,-12.99,3,11.266666666666666,6.666666666666667,5
2024-04-01,Office Supplies,North America,209.4,51.32,5,13.559999999999999,13.0,18
2024-04-01,Technology,Asia Pacific,2085.73,637.89,7,86.89999999999999,12.857142857142858,37
2024-04-01,Technology,Europe,753.79,249.67000000000002,5,84.172,8.0,14
2024-04-01,Technology,North America,416.40999999999997,104.1,4,46.7575,12.5,10
2024-04-01,Technology,South America,2106.2400000000002,702.5,5,101.538,16.0,22
2024-05-01,Clothing & Accessories,Asia Pacific,1351.3799999999999,609.27,4,63.195,2.5,17
2024-05-01,Clothing & Accessories,Europe,572.41,218.69,4,55.665,7.5,10
2024-05-01,Clothing & Accessories,North America,764.8299999999999,301.82,4,47.78,11.25,17
2024-05-01,Clothing & Accessories,South America,479.7,216.76,1,79.95,0.0,6
2024-05-01,Furniture,Asia Pacific,1182.3600000000001,435.79,3,106.16666666666667,0.0,10
2024-05-01,Furniture,Europe,515.8199999999999,137.93,3,119.55666666666667,8.333333333333334,10
2024-05-01,Furniture,Middle East & Africa,67.18,14.78,1,67.18,0.0,1
2024-05-01,Furniture,North America,3867.33,1458.8,4,157.1475,5.0,21
2024-05-01,Office Supplies,Asia Pacific,297.65,73.21,6,10.883333333333333,5.0,23
2024-05-01,Office Supplies,Europe,26.97,4.96,1,9.99,10.0,3
2024-05-01,Office Supplies,Middle East & Africa,87.14,1.08,3,11.246666666666668,6.666666666666667,9
2024-05-01,Office Supplies,North America,75.43,7.34,3,13.933333333333332,8.333333333333334,7
2024-05-01,Office Supplies,South America,111.89,7.629999999999999,3,12.030000000000001,10.0,10
2024-05-01,Technology,Asia Pacific,735.62,237.16,5,59.278,7.0,13
2024-05-01,Technology,Europe,4041.54,1470.0,9,84.35333333333334,5.555555555555555,44
2024-05-01,Technology,Middle East & Africa,1403.59,480.96,4,70.43,8.75,14
2024-05-01,Technology,North America,942.62,221.27,4,90.1575,17.5,19
2024-05-01,Technology,South America,70.74,11.85,1,26.2,10.0,3
2024-06-01,Clothing & Accessories,Asia Pacific,298.15999999999997,92.63,3,43.63999999999999,8.333333333333334,7
2024-06-01,Clothing & Accessories,Europe,54.94,8.83,1,22.89,20.0,3
2024-06-01,Clothing & Accessories,Middle East & Africa,64.87,16.79,1,34.14,5.0,2
2024-06-01,Clothing & Accessories,North America,880.2199999999999,347.21000000000004,8,48.58625,6.25,18
2024-06-01,Clothing & Accessories,South America,38.26,3.38,1,47.83,20.0,1
2024-06-01,Furniture,Asia Pacific,931.61,301.25,3,98.10666666666667,3.3333333333333335,13
2024-06-01,Furniture,Europe,1072.0,339.74,4,98.045,3.75,13
2024-06-01,Furniture,North America,868.97,319.86,2,222.555,2.5,4
2024-06-01,Furniture,South America,2398.15,658.2,4,123.0475,12.5,17
2024-06-01,Office Supplies,Asia Pacific,65.67,-3.1,3,12.32,11.666666666666666,6
2024-06-01,Office Supplies,Europe,58.79,-4.640000000000001,3,11.046666666666667,6.666666666666667,6
2024-06-01,Office Supplies,North America,167.03,52.2,3,9.08,1.6666666666666667,15
2024-06-01,Technology,Asia Pacific,224.13,66.32,1,65.92,15.0,4
2024-06-01,Technology,Middle East & Africa,373.37,101.92999999999999,2,127.91999999999999,17.5,3
2024-06-01,Technology,North America,1603.06,630.38,3,110.92,6.666666666666667,15
2024-06-01,Technology,South America,335.92,120.86,2,129.205,2.5,4
2024-07-01,Clothing & Accessories,Asia Pacific,123.84,23.22,1,25.8,20.0,6
2024-07-01,Clothing & Accessories,Europe,817.21,302.52,5,51.078,12.0,22
2024-07-01,Clothing & Accessories,Middle East & Africa,20.12,-5.67,1,25.15,20.0,1
2024-07-01,Clothing & Accessories,North America,298.57,97.45,3,46.326666666666675,11.666666666666666,8
2024-07-01,Furniture,Asia Pacific,302.99,73.96,2,47.45,7.5,7
2024-07-01,Furniture,Europe,7692.67,2768.73,4,280.635,7.5,26
2024-07-01,Furniture,North America,2081.32,664.1899999999999,6,140.355,10.0,15
2024-07-01,Furniture,South America,50.0,3.42,1,58.82,15.0,1
2024-07-01,Office Supplies,Asia Pacific,58.34,0.79,2,13.065000000000001,5.0,5
2024-07-01,Office Supplies,Europe,152.07,28.740000000000002,4,13.6425,2.5,13
2024-07-01,Office Supplies,North America,269.57,94.02,4,14.8475,12.5,21
2024-07-01,Technology,Asia Pacific,839.78,283.97,3,112.41000000000001,11.666666666666666,8
2024-07-01,Technology,Europe,559.47,196.13000000000002,5,47.474000000000004,6.0,10
