month,total_sales,total_profit,order_count,avg_unit_price,avg_discount,total_quantity,month_num,quarter,year,time_idx,lag_1,lag_2,roll_mean_3,roll_std_3,cat_Clothing & Accessories,cat_Furniture,cat_Office Supplies,cat_Technology,reg_Asia Pacific,reg_Europe,reg_Middle East & Africa,reg_North America,reg_South America
2024-04-01,410.69,107.49,4.0,35.57,17.5,14.0,4,2,2024,16,19.9,652.8,337.72999999999985,316.4590268897381,True,False,False,False,False,True,False,False,False
2024-05-01,572.41,218.69,4.0,55.665,7.5,10.0,5,2,2024,17,410.69,19.9,361.1299999999999,319.34737778788786,True,False,False,False,False,True,False,False,False
2024-06-01,54.94,8.83,1.0,22.89,20.0,3.0,6,2,2024,18,572.41,410.69,334.3333333333332,284.0591143289251,True,False,False,False,False,True,False,False,False
2024-07-01,817.21,302.52,5.0,51.078,12.0,22.0,7,3,2024,19,54.94,572.41,346.01333333333315,264.72835819634685,True,False,False,False,False,True,False,False,False
2024-08-01,354.18,114.87,4.0,27.957500000000003,8.75,14.0,8,3,2024,20,817.21,54.94,481.5199999999998,389.17814982344527,True,False,False,False,False,True,False,False,False
2024-09-01,234.22,71.96,3.0,36.66666666666666,8.333333333333334,6.0,9,3,2024,21,354.18,817.21,408.7766666666666,384.05661722372827,True,False,False,False,False,True,False,False,False
2024-10-01,1557.95,646.53,6.0,53.29166666666666,5.833333333333333,38.0,10,4,2024,22,234.22,354.18,468.5366666666666,307.85941667152775,True,False,False,False,False,True,False,False,False
2024-11-01,1602.1799999999998,656.6700000000001,6.0,54.54166666666666,8.333333333333334,32.0,11,4,2024,23,1557.95,234.22,715.4499999999998,732.0876231025902,True,False,False,False,False,True,False,False,False
2024-12-01,599.81,213.13,4.0,43.425,6.25,18.0,12,4,2024,24,1602.1799999999998,1557.95,1131.4499999999998,777.3386185569323,True,False,False,False,False,True,False,False,False
2025-01-01,911.18,383.68,2.0,69.66499999999999,7.5,15.0,1,1,2025,25,599.81,1602.1799999999998,1253.3133333333333,566.3824045936926,True,False,False,False,False,True,False,False,False
2025-02-01,485.12,169.5,3.0,41.53,8.333333333333334,14.0,2,1,2025,26,911.18,599.81,1037.7233333333331,513.0266227334926,True,False,False,False,False,True,False,False,False
2025-03-01,132.02,40.31,2.0,44.74,7.5,3.0,3,1,2025,27,485.12,911.18,665.3699999999998,220.46624707650858,True,False,False,False,False,True,False,False,False
2025-04-01,0.0,0.0,0.0,55.09,0.0,0.0,4,2,2025,28,132.02,485.12,509.4399999999998,390.1489115709541,True,False,False,False,False,True,False,False,False
2025-05-01,598.63,240.29,4.0,34.7225,2.5,20.0,5,2,2025,29,0.0,132.02,205.71333333333317,250.815438387141,True,False,False,False,False,True,False,False,False
2025-06-01,423.14,147.06,4.0,33.067499999999995,10.0,14.0,6,2,2025,30,598.63,0.0,243.54999999999984,314.51339383244135,True,False,False,False,False,True,False,False,False
2025-07-01,1383.95,532.23,8.0,43.0875,7.5,31.0,7,3,2025,31,423.14,598.63,340.58999999999986,307.7342134050101,True,False,False,False,False,True,False,False,False
2025-08-01,1554.44,597.2,7.0,40.701428571428565,9.285714285714286,40.0,8,3,2025,32,1383.95,423.14,801.9066666666664,511.6444238270689,True,False,False,False,False,True,False,False,False
2025-09-01,429.03,147.23000000000002,3.0,57.57,15.0,10.0,9,3,2025,33,1554.44,1383.95,1120.51,609.9265510698806,True,False,False,False,False,True,False,False,False
2025-10-01,599.0699999999999,231.39,3.0,60.49333333333334,10.0,10.0,10,4,2025,34,429.03,1554.44,1122.4733333333331,606.5595209320622,True,False,False,False,False,True,False,False,False
2025-11-01,0.0,0.0,0.0,55.09,0.0,0.0,11,4,2025,35,599.0699999999999,429.03,860.8466666666665,606.6565621777557,True,False,False,False,False,True,False,False,False
2025-12-01,1375.01,537.46,5.0,42.932,7.0,31.0,12,4,2025,36,0.0,599.0699999999999,342.6999999999998,308.7245825975,True,False,False,False,False,True,False,False,False
2023-03-01,394.05,160.42000000000002,2.0,50.415,0.0,9.0,3,1,2023,3,582.24,185.18,383.71000000000004,280.76381853793055,True,False,False,False,False,False,True,False,False
2023-04-01,40.72,7.15,1.0,42.86,5.0,1.0,4,2,2023,4,394.05,582.24,387.1566666666667,198.61973575990208,True,False,False,False,False,False,True,False,False
2023-05-01,0.0,0.0,0.0,55.09,0.0,0.0,5,2,2023,5,40.72,394.05,339.00333333333333,274.9246792002008,True,False,False,False,False,False,True,False,False
2023-06-01,194.85,31.79,3.0,24.19333333333333,3.333333333333333,12.0,6,2,2023,6,0.0,40.72,144.92333333333332,216.70856382093746,True,False,False,False,False,False,True,False,False
2023-07-01,0.0,0.0,0.0,55.09,0.0,0.0,7,3,2023,7,194.85,0.0,78.52333333333333,102.77864385821272,True,False,False,False,False,False,True,False,False
2023-08-01,591.05,222.56,3.0,25.876666666666665,5.0,19.0,8,3,2023,8,0.0,194.85,64.95,112.49669995159856,True,False,False,False,False,False,True,False,False
2023-09-01,0.0,0.0,0.0,55.09,0.0,0.0,9,3,2023,9,591.05,0.0,261.96666666666664,301.18683708511116,True,False,False,False,False,False,True,False,False
2023-10-01,382.78,139.4,3.0,49.11333333333334,3.333333333333333,8.0,10,4,2023,10,0.0,591.05,197.01666666666665,341.24287660452825,True,False,False,False,False,False,True,False,False
2023-11-01,0.0,0.0,0.0,55.09,0.0,0.0,11,4,2023,11,382.78,0.0,324.60999999999996,299.78798725099034,True,False,False,False,False,False,True,False,False
2023-12-01,474.71,145.17,3.0,47.21666666666667,8.333333333333334,10.0,12,4,2023,12,0.0,382.78,127.59333333333332,220.99813604040494,True,False,False,False,False,False,True,False,False
2024-01-01,0.0,0.0,0.0,55.09,0.0,0.0,1,1,2024,13,474.71,0.0,285.83,251.76749770373448,True,False,False,False,False,False,True,False,False
2024-02-01,435.84,199.01,1.0,108.96,0.0,4.0,2,1,2024,14,0.0,474.71,158.23666666666665,274.0739462870072,True,False,False,False,False,False,True,False,False
2024-03-01,0.0,0.0,0.0,55.09,0.0,0.0,3,1,2024,15,435.84,0.0,303.51666666666665,263.5706630741238,True,False,False,False,False,False,True,False,False
2024-04-01,629.96,274.69,1.0,82.89,5.0,8.0,4,2,2024,16,0.0,435.84,145.28,251.63234132360643,True,False,False,False,False,False,True,False,False
2024-05-01,0.0,0.0,0.0,55.09,0.0,0.0,5,2,2024,17,629.96,0.0,355.26666666666665,322.616563327634,True,False,False,False,False,False,True,False,False
2024-06-01,64.87,16.79,1.0,34.14,5.0,2.0,6,2,2024,18,0.0,629.96,209.98666666666668,363.7075755786966,True,False,False,False,False,False,True,False,False
2024-07-01,20.12,-5.67,1.0,25.15,20.0,1.0,7,3,2024,19,64.87,0.0,231.61,346.5026278399631,True,False,False,False,False,False,True,False,False
2024-08-01,0.0,0.0,0.0,55.09,0.0,0.0,8,3,2024,20,20.12,64.87,28.330000000000002,33.20515472031401,True,False,False,False,False,False,True,False,False
2024-09-01,375.0,100.68,1.0,62.5,25.0,8.0,9,3,2024,21,0.0,20.12,28.330000000000002,33.20515472031401,True,False,False,False,False,False,True,False,False
2024-10-01,948.45,387.38,3.0,90.0,11.666666666666666,15.0,10,4,2024,22,375.0,0.0,131.70666666666668,210.93823298144247,True,False,False,False,False,False,True,False,False
2024-11-01,0.0,0.0,0.0,55.09,0.0,0.0,11,4,2024,23,948.45,375.0,441.15000000000003,477.6727096035526,True,False,False,False,False,False,True,False,False
2024-12-01,220.36,92.77,1.0,55.09,0.0,4.0,12,4,2024,24,0.0,948.45,441.15000000000003,477.6727096035526,True,False,False,False,False,False,True,False,False
2025-01-01,0.0,0.0,0.0,55.09,0.0,0.0,1,1,2025,25,220.36,0.0,389.6033333333333,496.3585700210416,True,False,False,False,False,False,True,False,False
2025-02-01,0.0,0.0,0.0,55.09,0.0,0.0,2,1,2025,26,0.0,220.36,73.45333333333333,127.22490531862574,True,False,False,False,False,False,True,False,False
2025-03-01,0.0,0.0,0.0,55.09,0.0,0.0,3,1,2025,27,0.0,0.0,73.45333333333333,127.22490531862574,True,False,False,False,False,False,True,False,False
2025-04-01,329.91,131.63,1.0,31.57,5.0,11.0,4,2,2025,28,0.0,0.0,0.0,0.0,True,False,False,False,False,False,True,False,False
2025-05-01,56.7,11.72,1.0,14.92,5.0,4.0,5,2,2025,29,329.91,0.0,109.97000000000001,190.47362730834945,True,False,False,False,False,False,True,False,False
2025-06-01,204.72,60.94,3.0,37.51333333333333,1.6666666666666667,6.0,6,2,2025,30,56.7,329.91,128.87,176.3987916625281,True,False,False,False,False,False,True,False,False
2025-07-01,138.21,54.93,1.0,46.07,0.0,3.0,7,3,2025,31,204.72,56.7,197.11,136.76388448709696,True,False,False,False,False,False,True,False,False
2025-08-01,338.72,117.75,1.0,79.7,15.0,5.0,8,3,2025,32,138.21,204.72,133.21,74.13656385347245,True,False,False,False,False,False,True,False,False
2025-09-01,231.54,81.44,2.0,46.465,5.0,6.0,9,3,2025,33,338.72,138.21,227.2166666666667,102.13050491079214,True,False,False,False,False,False,True,False,False
2025-10-01,0.0,0.0,0.0,55.09,0.0,0.0,10,4,2025,34,231.54,338.72,236.15666666666667,100.33469107608464,True,False,False,False,False,False,True,False,False
2025-11-01,200.61,68.72,2.0,39.38,5.0,5.0,11,4,2025,35,0.0,231.54,190.08666666666667,173.1230595077771,True,False,False,False,False,False,True,False,False
2025-12-01,121.12,43.67,1.0,30.28,0.0,4.0,12,4,2025,36,200.61,0.0,144.04999999999998,125.70587933744386,True,False,False,False,False,False,True,False,False
2023-03-01,370.97,145.32999999999998,2.0,42.815,5.0,11.0,3,1,2023,3,253.97,214.4,234.185,27.98021533155168,True,False,False,False,False,False,False,True,False
2023-04-01,79.15,15.28,1.0,37.69,30.0,3.0,4,2,2023,4,370.97,253.97,279.78000000000003,81.41350195145766,True,False,False,False,False,False,False,True,False
2023-05-01,134.2,49.9,1.0,26.84,0.0,5.0,5,2,2023,5,79.15,370.97,234.6966666666667,146.86158154307523,True,False,False,False,False,False,False,True,False
2023-06-01,219.9,78.78999999999999,2.0,33.89,5.0,7.0,6,2,2023,6,134.2,79.15,194.77333333333334,155.05345734079373,True,False,False,False,False,False,False,True,False
2023-07-01,648.47,251.13,5.0,42.27,7.0,19.0,7,3,2023,7,219.9,134.2,144.41666666666666,70.92901968400056,True,False,False,False,False,False,False,True,False
2023-08-01,1137.86,462.3200000000001,7.0,46.705714285714286,10.0,21.0,8,3,2023,8,648.47,219.9,334.19,275.5268794509894,True,False,False,False,False,False,False,True,False
2023-09-01,802.65,265.04,5.0,66.298,13.0,11.0,9,3,2023,9,1137.86,648.47,668.7433333333333,459.3156827644069,True,False,False,False,False,False,False,True,False
2023-10-01,129.12,46.9,1.0,33.98,5.0,4.0,10,4,2023,10,802.65,1137.86,862.9933333333332,250.21317198207865,True,False,False,False,False,False,False,True,False
2023-11-01,41.11,12.63,1.0,45.68,10.0,1.0,11,4,2023,11,129.12,802.65,689.8766666666667,513.7387131931303,True,False,False,False,False,False,False,True,False
2023-12-01,543.84,181.18,4.0,31.445,12.5,20.0,12,4,2023,12,41.11,129.12,324.29333333333324,416.5996464632842,True,False,False,False,False,False,False,True,False
2024-01-01,774.4200000000001,252.87,5.0,52.364,14.0,18.0,1,1,2024,13,543.84,41.11,238.02333333333328,268.47591183071415,True,False,False,False,False,False,False,True,False
2024-02-01,285.84000000000003,111.97,2.0,33.49,2.5,10.0,2,1,2024,14,774.4200000000001,543.84,453.1233333333333,374.97736496131785,True,False,False,False,False,False,False,True,False
2024-03-01,152.19,63.6,1.0,32.04,5.0,5.0,3,1,2024,15,285.84000000000003,774.4200000000001,534.6999999999999,244.41820472297064,True,False,False,False,False,False,False,True,False
2024-04-01,276.13,91.82,3.0,51.71,13.333333333333334,7.0,4,2,2024,16,152.19,285.84000000000003,404.1499999999999,327.5522634634052,True,False,False,False,False,False,False,True,False
2024-05-01,764.8299999999999,301.82,4.0,47.78,11.25,17.0,5,2,2024,17,276.13,152.19,238.05333333333328,74.51815237466221,True,False,False,False,False,False,False,True,False
2024-06-01,880.2199999999999,347.21000000000004,8.0,48.58625,6.25,18.0,6,2,2024,18,764.8299999999999,276.13,397.7166666666665,323.91268967629736,True,False,False,False,False,False,False,True,False
2024-07-01,298.57,97.45,3.0,46.32666666666668,11.666666666666666,8.0,7,3,2024,19,880.2199999999999,764.8299999999999,640.3933333333332,320.6938493849442,True,False,False,False,False,False,False,True,False
2024-08-01,565.81,234.65,4.0,58.8175,5.0,10.0,8,3,2024,20,298.57,880.2199999999999,647.8733333333332,307.958320285933,True,False,False,False,False,False,False,True,False
2024-09-01,445.46,176.17,4.0,21.965,7.5,20.0,9,3,2024,21,565.81,298.57,581.5333333333332,291.14360379945373,True,False,False,False,False,False,False,True,False
2024-10-01,401.74,133.93,5.0,39.966,11.0,13.0,10,4,2024,22,445.46,565.81,436.61333333333323,133.83946366200558,True,False,False,False,False,False,False,True,False
2024-11-01,428.75,147.23000000000002,4.0,39.3725,11.25,13.0,11,4,2024,23,401.74,445.46,471.0033333333333,84.96521425461899,True,False,False,False,False,False,False,True,False
2024-12-01,929.74,388.05,5.0,39.998000000000005,5.0,24.0,12,4,2024,24,428.75,401.74,425.3166666666666,22.06128811591283,True,False,False,False,False,False,False,True,False
2025-01-01,203.63,83.05,2.0,22.045,2.5,9.0,1,1,2025,25,929.74,428.75,586.7433333333332,297.3506684595367,True,False,False,False,False,False,False,True,False
2025-02-01,320.74,119.42,3.0,49.81999999999999,10.0,7.0,2,1,2025,26,203.63,929.74,520.7066666666666,371.6866347251853,True,False,False,False,False,False,False,True,False
2025-03-01,860.0699999999999,351.64,5.0,41.488,3.0,19.0,3,1,2025,27,320.74,203.63,484.7033333333332,389.8357526360728,True,False,False,False,False,False,False,True,False
2025-04-01,77.03,24.24,1.0,90.62,15.0,1.0,4,2,2025,28,860.0699999999999,320.74,461.47999999999985,350.12023520499355,True,False,False,False,False,False,False,True,False
2025-05-01,806.47,325.84,6.0,46.75333333333333,10.0,19.0,5,2,2025,29,77.03,860.0699999999999,419.2799999999999,400.7125018014786,True,False,False,False,False,False,False,True,False
2025-06-01,492.35,210.17,2.0,68.045,10.0,8.0,6,2,2025,30,806.47,77.03,581.1899999999999,437.4371031359823,True,False,False,False,False,False,False,True,False
2025-07-01,655.53,255.49,3.0,56.56333333333333,6.666666666666667,15.0,7,3,2025,31,492.35,806.47,458.6166666666666,365.88814101215877,True,False,False,False,False,False,False,True,False
2025-08-01,53.12,11.02,2.0,28.505,7.5,2.0,8,3,2025,32,655.53,492.35,651.4499999999999,157.0997402925927,True,False,False,False,False,False,False,True,False
2025-09-01,152.25,42.64,3.0,22.636666666666667,16.666666666666668,10.0,9,3,2025,33,53.12,655.53,400.33333333333326,311.5682144143291,True,False,False,False,False,False,False,True,False
2025-10-01,2662.89,1208.73,7.0,68.74857142857142,3.571428571428572,41.0,10,4,2025,34,152.25,53.12,286.9666666666666,323.01066117596383,True,False,False,False,False,False,False,True,False
2025-11-01,0.0,0.0,0.0,55.09,0.0,0.0,11,4,2025,35,2662.89,152.25,956.0866666666666,1478.9658221991924,True,False,False,False,False,False,False,True,False
2025-12-01,1061.12,451.64,5.0,55.752,7.0,18.0,12,4,2025,36,0.0,2662.89,938.38,1495.4083290860726,True,False,False,False,False,False,False,True,False
2023-03-01,275.31,107.7,1.0,61.18,10.0,5.0,3,1,2023,3,1468.85,264.48,866.665,851.6181940576422,True,False,False,False,False,False,False,False,True
2023-04-01,0.0,0.0,0.0,55.09,0.0,0.0,4,2,2023,4,275.31,1468.85,669.5466666666666,692.2381716095504,True,False,False,False,False,False,False,False,True
2023-05-01,227.06,68.37,1.0,94.61,20.0,3.0,5,2,2023,5,0.0,275.31,581.3866666666667,780.795924062961,True,False,False,False,False,False,False,False,True
2023-06-01,63.27,13.22,1.0,79.09,20.0,1.0,6,2,2023,6,227.06,0.0,167.45666666666668,147.01468305354115,True,False,False,False,False,False,False,False,True
2023-07-01,142.12,43.39,2.0,47.13,2.5,3.0,7,3,2023,7,63.27,227.06,96.77666666666666,117.17970572301819,True,False,False,False,False,False,False,False,True
2023-08-01,819.8,329.96000000000004,4.0,80.30000000000001,10.0,10.0,8,3,2023,8,142.12,63.27,144.15,81.91386756831727,True,False,False,False,False,False,False,False,True
2023-09-01,0.0,0.0,0.0,55.09,0.0,0.0,9,3,2023,9,819.8,142.12,341.73,415.89364541911414,True,False,False,False,False,False,False,False,True
2023-10-01,779.58,272.54,1.0,74.96,20.0,13.0,10,4,2023,10,0.0,819.8,320.64000000000004,438.0868096621944,True,False,False,False,False,False,False,False,True
2023-11-01,379.85,145.8,2.0,54.21,7.5,8.0,11,4,2023,11,779.58,0.0,533.1266666666667,462.13898789577706,True,False,False,False,False,False,False,False,True
2023-12-01,0.0,0.0,0.0,55.09,0.0,0.0,12,4,2023,12,379.85,779.58,386.47666666666674,389.83224421965554,True,False,False,False,False,False,False,False,True
2024-01-01,88.36,15.03,2.0,16.915,10.0,7.0,1,1,2024,13,0.0,379.85,386.47666666666674,389.83224421965554,True,False,False,False,False,False,False,False,True
2024-02-01,0.0,0.0,0.0,55.09,0.0,0.0,2,1,2024,14,88.36,0.0,156.07000000000005,198.77119685708925,True,False,False,False,False,False,False,False,True
2024-03-01,92.86,6.95,1.0,14.51,20.0,8.0,3,1,2024,15,0.0,88.36,29.453333333333372,51.01466978559221,True,False,False,False,False,False,False,False,True
2024-04-01,370.36,155.03,1.0,77.97,5.0,5.0,4,2,2024,16,92.86,0.0,60.4066666666667,52.36207151491456,True,False,False,False,False,False,False,False,True
2024-05-01,479.7,216.76,1.0,79.95,0.0,6.0,5,2,2024,17,370.36,92.86,154.40666666666672,192.6982784908393,True,False,False,False,False,False,False,False,True
2024-06-01,38.26,3.38,1.0,47.83,20.0,1.0,6,2,2024,18,479.7,370.36,314.3066666666667,199.4186012721309,True,False,False,False,False,False,False,False,True
2024-07-01,0.0,0.0,0.0,55.09,0.0,0.0,7,3,2024,19,38.26,479.7,296.10666666666674,229.8966866514894,True,False,False,False,False,False,False,False,True
2024-08-01,592.01,210.82,2.0,76.12,15.0,8.0,8,3,2024,20,0.0,38.26,172.6533333333334,266.5974465994246,True,False,False,False,False,False,False,False,True
2024-09-01,31.92,3.89,1.0,31.92,0.0,1.0,9,3,2024,21,592.01,0.0,210.09000000000006,331.3051791022889,True,False,False,False,False,False,False,False,True
2024-10-01,216.09,50.94,3.0,34.916666666666664,11.666666666666666,7.0,10,4,2024,22,31.92,592.01,207.97666666666672,332.9653471959703,True,False,False,False,False,False,False,False,True
2024-11-01,0.0,0.0,0.0,55.09,0.0,0.0,11,4,2024,23,216.09,31.92,280.0066666666667,285.46314514019684,True,False,False,False,False,False,False,False,True
2024-12-01,0.0,0.0,0.0,55.09,0.0,0.0,12,4,2024,24,0.0,216.09,82.67000000000007,116.64216175980144,True,False,False,False,False,False,False,False,True
2025-01-01,0.0,0.0,0.0,55.09,0.0,0.0,1,1,2025,25,0.0,0.0,72.03000000000007,124.75961966918496,True,False,False,False,False,False,False,False,True
2025-02-01,0.0,0.0,0.0,55.09,0.0,0.0,2,1,2025,26,0.0,0.0,0.0,0.0,True,False,False,False,False,False,False,False,True
2025-03-01,158.63,58.41,1.0,55.66,5.0,3.0,3,1,2025,27,0.0,0.0,0.0,0.0,True,False,False,False,False,False,False,False,True
2025-04-01,18.14,-5.55,1.0,10.67,15.0,2.0,4,2,2025,28,158.63,0.0,52.87666666666674,91.58507320155033,True,False,False,False,False,False,False,False,True
